PRICE,HOA,SQUARE_FEET,BEDS,BATHS,PROPERTY_TYPE,CITY,URL
1094000,250,1925,3,3.5,TOWNHOUSE,NEWARK,/CA/Newark/5696-Pandorea-Ter-94560/home/112885738
1375000,121,1917,4,4.5,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/40200-Antigua-Rose-Ter-94538/home/17185582
600000,323,1006,2,1.5,TOWNHOUSE,FREMONT,/CA/Fremont/5563-Roundtree-Cmn-94538/home/1394267
1375000,,1117,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/5608-Andromeda-Cir-94538/home/2021034
1300000,,1324,4,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/5048-Conde-Ct-94538/home/1878969
1405000,,1671,4,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/39425-Logan-Dr-94538/home/1886909
705000,,1127,2,2.0,CONDO,FREMONT,/CA/Fremont/39900-Lindsay-McDermott-Ln-94538/unit-10/home/22696832
1285000,,1368,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/39386-Sutter-Dr-94538/home/2024087
1300000,,1148,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/4566-Todd-St-94538/home/1124636
1310000,,1131,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/5056-Conde-Ct-94538/home/993515
1365000,,1434,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/40726-Creston-St-94538/home/1722005
1450000,,1366,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/40630-Andante-St-94538/home/1949424
1240000,,1706,4,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/114-Visa-Ct-94538/home/1741486
594950,438,1071,2,2.0,CONDO,NEWARK,/CA/Newark/39975-Cedar-Blvd-94560/unit-243/home/1158413
1166000,,1324,4,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/5405-Curtis-St-94538/home/1981843
1200000,,1488,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/40574-Blacow-Rd-94538/home/1697982
1450000,,1930,4,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/5461-Borgia-Rd-94538/home/1124033
1590000,,1763,4,3.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/40340-Strawflower-Way-94538/home/1507105
700000,320,850,2,2.0,CONDO,FREMONT,/CA/Fremont/5657-Statice-Cmn-94538/home/1219535
1260000,,1117,3,2.0,SINGLE_FAMILY_HOME,FREMONT,/CA/Fremont/5425-Crimson-Cir-94538/home/1472041
645000,359,1116,2,2.0,CONDO,NEWARK,/CA/Newark/39925-Parada-St-94560/unit-B/home/1055415
1750000,142,2068,4,3.0,SINGLE_FAMILY_HOME,NEWARK,/CA/Newark/39983-Waxwing-Dr-94560/home/168831442
1120000,202,1627,2,2.5,SINGLE_FAMILY_HOME,NEWARK,/CA/Newark/39888-Potrero-Dr-94560/home/1493967
